,,price_in_cents,price_in_cents,price_in_cents,travel_ts,travel_ts,travel_ts
,,min,mean,max,min,mean,max
o_city,d_city,,,,,,
5,23,18600,20320.0,22000,0 days 08:53:00.000000000,0 days 10:18:48.000000000,0 days 15:54:00.000000000
6,227,9860,11755.0,13650,0 days 12:24:00.000000000,0 days 13:42:30.000000000,0 days 15:01:00.000000000
6,504,2000,4042.6666666666665,8920,0 days 05:36:00.000000000,0 days 08:17:24.000000000,0 days 12:20:00.000000000
6,628,2600,2797.5,3190,0 days 09:40:00.000000000,0 days 12:10:00.000000000,0 days 14:30:00.000000000
6,845,700,864.6268656716418,2420,0 days 01:00:00.000000000,0 days 01:19:54.626865671,0 days 04:11:00.000000000
6,10480,3700,3833.3333333333335,4050,0 days 05:00:00.000000000,0 days 05:50:00.000000000,0 days 08:00:00.000000000
11,28,5090,5190.0,5290,0 days 14:35:00.000000000,0 days 14:52:30.000000000,0 days 15:10:00.000000000
11,33,2000,2630.0,3280,0 days 21:45:00.000000000,1 days 00:09:00.000000000,1 days 02:45:00.000000000
11,200,2390,6405.238095238095,10740,0 days 04:06:00.000000000,0 days 11:26:25.714285714,1 days 07:40:00.000000000
11,424,1600,4389.393939393939,7100,0 days 08:00:00.000000000,0 days 15:57:34.545454545,1 days 18:40:00.000000000
11,453,4890,8990.0,16000,0 days 04:31:00.000000000,0 days 12:24:25.161290322,1 days 14:50:00.000000000
11,485,1400,2501.3297872340427,6500,0 days 03:00:00.000000000,0 days 03:59:28.085106382,0 days 20:35:00.000000000
11,524,2790,9558.0,17600,0 days 06:50:00.000000000,0 days 08:51:36.000000000,0 days 11:50:00.000000000
11,580,1100,2475.4166666666665,4600,0 days 01:40:00.000000000,0 days 03:51:37.500000000,0 days 11:01:00.000000000
11,628,1600,5724.961240310077,14900,0 days 04:03:00.000000000,0 days 10:25:39.534883720,1 days 05:05:00.000000000
11,639,1200,2020.0,2500,0 days 03:50:00.000000000,0 days 12:26:15.000000000,0 days 19:30:00.000000000
11,843,500,627.7049180327868,1890,0 days 00:50:00.000000000,0 days 01:14:05.901639344,0 days 14:20:00.000000000
11,1088,2650,3239.090909090909,3700,0 days 04:00:00.000000000,0 days 06:25:00.000000000,0 days 20:15:00.000000000
11,2621,6150,8318.333333333334,9990,0 days 10:10:00.000000000,0 days 19:05:50.000000000,1 days 01:40:00.000000000
11,5520,3100,3487.5,3950,0 days 04:40:00.000000000,0 days 04:57:30.000000000,0 days 05:40:00.000000000
11,8952,3500,6971.428571428572,12400,0 days 05:40:00.000000000,0 days 12:41:51.428571428,0 days 22:17:00.000000000
11,8972,5700,11231.25,14600,0 days 07:26:00.000000000,0 days 08:27:30.000000000,0 days 10:42:00.000000000
11,10033,1400,2516.9565217391305,3490,0 days 02:23:00.000000000,0 days 07:43:05.217391304,1 days 10:04:00.000000000
15,126,4550,4550.0,4550,0 days 07:40:00.000000000,0 days 07:40:00.000000000,0 days 07:40:00.000000000
21,11,3500,8982.142857142857,12600,0 days 05:16:00.000000000,0 days 09:52:49.285714285,1 days 03:05:00.000000000
21,23,6220,6220.0,6220,0 days 05:04:00.000000000,0 days 05:34:00.000000000,0 days 06:04:00.000000000
21,126,2000,7394.827586206897,13380,0 days 04:18:00.000000000,0 days 09:29:20.689655172,1 days 01:20:00.000000000
21,132,950,974.0,1550,0 days 01:20:00.000000000,0 days 01:32:24.000000000,0 days 02:40:00.000000000
21,453,700,1553.8333333333333,12850,0 days 01:10:00.000000000,0 days 02:27:03.000000000,0 days 18:41:00.000000000
21,562,2100,8989.5,11080,0 days 04:25:00.000000000,0 days 05:28:36.000000000,0 days 10:25:00.000000000
21,628,850,1113.5,1200,0 days 01:40:00.000000000,0 days 02:30:00.000000000,0 days 05:10:00.000000000
21,635,4190,4535.0,4880,0 days 16:00:00.000000000,0 days 17:47:30.000000000,0 days 19:35:00.000000000
23,21,6220,13297.0,17080,0 days 06:05:00.000000000,0 days 07:07:00.000000000,0 days 08:46:00.000000000
23,99,3390,3960.5882352941176,5780,0 days 08:50:00.000000000,0 days 11:44:24.705882352,0 days 16:45:00.000000000
23,453,1800,6487.627118644068,21700,0 days 02:50:00.000000000,0 days 05:57:35.593220338,1 days 02:47:00.000000000
23,628,2300,7463.842592592592,18740,0 days 03:42:00.000000000,0 days 08:22:45.000000000,1 days 10:30:00.000000000
23,712,2300,2300.0,2300,13 days 05:45:00.000000000,13 days 05:45:00.000000000,13 days 05:45:00.000000000
23,1061,1400,4389.411764705882,8120,0 days 02:43:00.000000000,0 days 04:11:31.764705882,0 days 06:55:00.000000000
28,5,5700,9555.0,13110,0 days 06:28:00.000000000,0 days 07:13:30.000000000,0 days 08:40:00.000000000
