transport_type,distance_category,price_in_cents,travel_ts
bus,0-200,2182.830917874396,0 days 10:13:57.053140096
bus,200-800,3494.850021824531,0 days 15:04:29.269314709
bus,800-2000,6949.95004541326,1 days 03:32:10.027247956
bus,2000 +,,
carpooling,0-200,1177.352384745594,0 days 01:57:07.342427561
carpooling,200-800,3218.064309710446,0 days 04:45:47.272436410
carpooling,800-2000,8626.545454545454,0 days 13:06:00.839160839
carpooling,2000 +,,
train,0-200,3487.90077900779,0 days 04:25:09.840098400
train,200-800,9124.779489082699,0 days 07:40:39.543514566
train,800-2000,15463.74613003096,0 days 12:09:31.021671826
train,2000 +,,
